Date,Price,Open,High,Low,Change %
2006-02-27,1963.58,1963.58,1963.58,1963.58,0.38
2006-02-28,1943.19,1943.19,1943.19,1943.19,-1.04
2006-03-01,1959.76,1959.76,1959.76,1959.76,0.85
2006-03-02,1956.6,1956.6,1956.6,1956.6,-0.16
2006-03-03,1953.74,1953.74,1953.74,1953.74,-0.15
2006-03-06,1940.2,1940.2,1940.2,1940.2,-0.69
2006-03-07,1936.68,1936.68,1936.68,1936.68,-0.18
2006-03-08,1941.17,1941.17,1941.17,1941.17,0.23
2006-03-09,1931.73,1931.73,1931.73,1931.73,-0.49
2006-03-10,1945.92,1945.92,1945.92,1945.92,0.73
2006-03-13,1950.39,1950.39,1950.39,1950.39,0.23
2006-03-14,1970.65,1970.65,1970.65,1970.65,1.04
2006-03-15,1979.21,1979.21,1979.21,1979.21,0.43
2006-03-16,1982.76,1982.76,1982.76,1982.76,0.18
2006-03-17,1985.69,1985.69,1985.69,1985.69,0.15
2006-03-20,1982.4,1982.4,1982.4,1982.4,-0.17
2006-03-21,1970.5,1970.5,1970.5,1970.5,-0.6
2006-03-22,1982.4,1982.4,1982.4,1982.4,0.6
2006-03-23,1977.29,1977.29,1977.29,1977.29,-0.26
2006-03-24,1979.24,1979.24,1979.24,1979.24,0.1
2006-03-27,1977.19,1977.19,1977.19,1977.19,-0.1
2006-03-28,1964.47,1964.47,1964.47,1964.47,-0.64
2006-03-29,1979.51,1979.51,1979.51,1979.51,0.77
2006-03-30,1975.6,1975.6,1975.6,1975.6,-0.2
2006-03-31,1967.38,1967.38,1967.38,1967.38,-0.42
2006-04-03,1971.92,1971.92,1971.92,1971.92,0.23
2006-04-04,1984.47,1984.47,1984.47,1984.47,0.64
2006-04-05,1993.21,1993.21,1993.21,1993.21,0.44
2006-04-06,1989.87,1989.87,1989.87,1989.87,-0.17
2006-04-07,1969.3,1969.3,1969.3,1969.3,-1.03
2006-04-10,1971.03,1971.03,1971.03,1971.03,0.09
2006-04-11,1956.11,1956.11,1956.11,1956.11,-0.76
2006-04-12,1958.49,1958.49,1958.49,1958.49,0.12
2006-04-13,1960.01,1960.01,1960.01,1960.01,0.08
2006-04-17,1954.25,1954.25,1954.25,1954.25,-0.29
2006-04-18,1988.18,1988.18,1988.18,1988.18,1.74
2006-04-19,1991.84,1991.84,1991.84,1991.84,0.18
2006-04-20,1994.23,1994.23,1994.23,1994.23,0.12
2006-04-21,1993.99,1993.99,1993.99,1993.99,-0.01
2006-04-24,1989.2,1989.2,1989.2,1989.2,-0.24
2006-04-25,1979.51,1979.51,1979.51,1979.51,-0.49
2006-04-26,1985.28,1985.28,1985.28,1985.28,0.29
2006-04-27,1992.39,1992.39,1992.39,1992.39,0.36
2006-04-28,1993.79,1993.79,1993.79,1993.79,0.07
2006-05-01,1985.55,1985.55,1985.55,1985.55,-0.41
2006-05-02,1997.75,1997.75,1997.75,1997.75,0.61
2006-05-03,1989.97,1989.97,1989.97,1989.97,-0.39
2006-05-04,1996.74,1996.74,1996.74,1996.74,0.34
